year,season,grade,day_type,Max,Min,Mean,Variance,Count,Median,Q1,Q3,IQR,Skewness,Kurtosis,Range
2023,Summer,normal,weekday,65.0,31.0,38.21739130434783,81.81422924901182,23,33.0,33.0,39.0,6.0,1.627934143166111,1.741884409840794,34.0
2023,Summer,normal,weekend,39.0,31.0,35.22222222222222,10.444444444444445,9,34.0,33.0,38.0,5.0,0.07147772522204081,-1.7069587483023994,8.0
2023,Fall,good,weekday,30.0,10.0,22.147058823529413,35.523172905525854,34,22.0,18.25,27.75,9.5,-0.37340660219787,-0.8753705932081504,20.0
2023,Fall,good,weekend,30.0,11.0,21.043478260869566,28.31620553359684,23,21.0,18.0,25.0,7.0,-0.15430164790693937,-0.7721010131618438,19.0
2023,Fall,normal,weekday,46.0,31.0,36.666666666666664,23.833333333333332,21,36.0,33.0,38.0,5.0,0.732920344683637,-0.6139341777103993,15.0
2023,Fall,normal,weekend,50.0,31.0,38.25,55.642857142857146,8,37.0,32.0,40.75,8.75,0.7299123976311486,-0.9826725616759577,19.0
2023,Fall,bad,weekday,92.0,92.0,92.0,,1,92.0,92.0,92.0,0.0,,,0.0
2023,Winter,good,weekday,30.0,14.0,22.533333333333335,25.838095238095246,15,23.0,19.5,25.5,6.0,-0.3766350104217301,-0.7716564889613542,16.0
2023,Winter,good,weekend,30.0,16.0,25.166666666666668,25.366666666666667,6,27.0,24.0,27.75,3.75,-1.0845458018447847,-0.12228532551919047,14.0
2023,Winter,normal,weekday,75.0,31.0,50.666666666666664,204.75438596491233,39,47.0,40.0,65.5,25.5,0.5065852956500665,-1.1432813773323056,44.0
2023,Winter,normal,weekend,78.0,31.0,48.4,255.83157894736843,20,41.5,37.0,60.75,23.75,0.6229694695176209,-1.052573724917774,47.0
2023,Winter,bad,weekday,106.0,96.0,101.0,50.0,2,101.0,98.5,103.5,5.0,0.0,-2.0,10.0
2023,Winter,bad,weekend,126.0,126.0,126.0,,1,126.0,126.0,126.0,0.0,,,0.0
2023,Winter,very_bad,weekend,161.0,161.0,161.0,,1,161.0,161.0,161.0,0.0,,,0.0
2024,Spring,good,weekday,30.0,14.0,25.25,21.881578947368418,20,27.0,23.0,29.0,6.0,-1.1242827175947714,0.29539599265105965,16.0
2024,Spring,good,weekend,30.0,23.0,26.142857142857142,5.809523809523809,7,26.0,24.5,27.5,3.0,0.28336030804821294,-0.9597554420854619,7.0
2024,Spring,normal,weekday,70.0,31.0,44.875,102.7580645161291,32,44.0,35.75,50.25,14.5,0.6972533021658321,-0.013156608110921564,39.0
2024,Spring,normal,weekend,75.0,35.0,49.166666666666664,132.85294117647058,18,48.0,41.0,53.5,12.5,0.7926836527944654,-0.1912335800370224,40.0
2024,Spring,bad,weekday,137.0,99.0,113.66666666666667,417.33333333333337,3,105.0,102.0,121.0,19.0,0.6391055333421788,-1.5000000000000009,38.0
2024,Spring,bad,weekend,116.0,104.0,108.0,48.0,3,104.0,104.0,110.0,6.0,0.7071067811865475,-1.5,12.0
