date,total_passenger,commute_passenger,other_passenger,holiday_or_weekend
2022-06-10,4869325.0,2029896.0,2839429.0,0
2022-06-11,3596889.0,1058922.0,2537967.0,1
2022-06-12,2648125.0,774471.0,1873654.0,1
2022-06-13,4675099.0,2036379.0,2638720.0,0
2022-06-14,4771340.0,2041262.0,2730078.0,0
2022-06-15,4789374.0,2078350.0,2711024.0,0
2022-06-16,4811512.0,2048719.0,2762793.0,0
2022-06-17,4900582.0,2012420.0,2888162.0,0
2022-06-18,3526826.0,1037192.0,2489634.0,1
2022-06-19,2597860.0,756464.0,1841396.0,1
2022-06-20,4707314.0,2028980.0,2678334.0,0
2022-06-21,4864321.0,2083486.0,2780835.0,0
2022-06-22,4911697.0,2071047.0,2840650.0,0
2022-06-23,4599943.0,2020861.0,2579082.0,0
2022-06-24,4904262.0,2023373.0,2880889.0,0
2022-06-25,3663689.0,1064941.0,2598748.0,1
2022-06-26,2559160.0,733338.0,1825822.0,1
2022-06-27,4632647.0,2025511.0,2607136.0,0
2022-06-28,4699411.0,2043905.0,2655506.0,0
2022-06-29,4796584.0,2082402.0,2714182.0,0
2022-06-30,4598944.0,2029848.0,2569096.0,0
2022-07-01,5117110.0,2115442.0,3001668.0,0
2022-07-02,5117110.0,2115442.0,3001668.0,1
2022-07-03,2664201.0,788077.0,1876124.0,1
2022-07-04,4842382.0,2120695.0,2721687.0,0
2022-07-05,4963187.0,2144047.0,2819140.0,0
2022-07-06,5049978.0,2177050.0,2872928.0,0
2022-07-07,4881453.0,2113259.0,2768194.0,0
2022-07-08,4994993.0,2094288.0,2900705.0,0
2022-07-09,3594568.0,1052661.0,2541907.0,1
2022-07-10,2673014.0,797472.0,1875542.0,1
2022-07-11,4739459.0,2063385.0,2676074.0,0
2022-07-12,4895093.0,2112266.0,2782827.0,0
2022-07-13,4576170.0,2058830.0,2517340.0,0
2022-07-14,4912862.0,2085176.0,2827686.0,0
2022-07-15,5034557.0,2075397.0,2959160.0,0
2022-07-16,3447582.0,1005913.0,2441669.0,1
2022-07-17,2614477.0,771096.0,1843381.0,1
2022-07-18,4697750.0,2023141.0,2674609.0,0
2022-07-19,4820730.0,2071184.0,2749546.0,0
2022-07-20,4862926.0,2062106.0,2800820.0,0
2022-07-21,4636249.0,1986056.0,2650193.0,0
