대여일자,대여건수
2023-01-23,30880
2023-01-24,15265
2023-01-25,38329
2023-01-26,24340
2023-01-27,40221
2023-01-28,35890
2023-01-29,38347
2023-01-30,65611
2023-01-31,74827
2023-02-01,72476
2023-02-02,70755
2023-02-03,72692
2023-02-04,57939
2023-02-05,53806
2023-02-06,81306
2023-02-07,86528
2023-02-08,86848
2023-02-09,89612
2023-02-10,68845
2023-02-11,70625
2023-02-12,60692
2023-02-13,91951
2023-02-14,89965
2023-02-15,94666
2023-02-16,87393
2023-02-17,95472
2023-02-18,72419
2023-02-19,57600
2023-02-20,75725
2023-02-21,81579
2023-02-22,90322
2023-02-23,94716
2023-02-24,92586
2023-02-25,68023
2023-02-26,66858
2023-02-27,97898
2023-02-28,102193
2023-03-01,79638
2023-03-02,95450
2023-03-03,107213
2023-03-04,97286
2023-03-05,95137
2023-03-06,121402
2023-03-07,132494
2023-03-08,126427
2023-03-09,109299
2023-03-10,138822
2023-03-11,129567
2023-03-12,40919
2023-03-13,103769
2023-03-14,130020
2023-03-15,123017
2023-03-16,118552
2023-03-17,128102
2023-03-18,114617
2023-03-19,110627
2023-03-20,131589
2023-03-21,150433
2023-03-22,154551
2023-03-23,146757
2023-03-24,149034
2023-03-25,136959
2023-03-26,121288
2023-03-27,137981
2023-03-28,151848
2023-03-29,161395
2023-03-30,167430
2023-03-31,173890
2023-04-01,171977
2023-04-02,172417
2023-04-03,181275
2023-04-04,136859
2023-04-05,23102
2023-04-06,62143
2023-04-07,140641
2023-04-08,131981
2023-04-09,131332
2023-04-10,163115
2023-04-11,105355
2023-04-12,143620
2023-04-13,148979
2023-04-14,167786
2023-04-15,97305
2023-04-16,112187
2023-04-17,160889
2023-04-18,106058
2023-04-19,180743
2023-04-20,150795
2023-04-21,177950
2023-04-22,158022
2023-04-23,140444
2023-04-24,170621
2023-04-25,88208
2023-04-26,153562
2023-04-27,174519
2023-04-28,165728
2023-04-29,51329
2023-04-30,113123
2023-05-01,169163
2023-05-02,181356
2023-05-03,191700
2023-05-04,177946
2023-05-05,15582
2023-05-06,38108
2023-05-07,122748
2023-05-08,178650
2023-05-09,186372
2023-05-10,188819
2023-05-11,188662
2023-05-12,191280
2023-05-13,164530
2023-05-14,159839
2023-05-15,191102
2023-05-16,191708
2023-05-17,193511
2023-05-18,175230
2023-05-19,200049
2023-05-20,170201
2023-05-21,146665
2023-05-22,178822
2023-05-23,199092
2023-05-24,197704
2023-05-25,194905
2023-05-26,195427
2023-05-27,31642
2023-05-28,4992
2023-05-29,142076
2023-05-30,188611
2023-05-31,196312
2023-06-01,199157
2023-06-02,201990
2023-06-03,170766
2023-06-04,155376
2023-06-05,194301
2023-06-06,167366
2023-06-07,196584
2023-06-08,169184
2023-06-09,193077
2023-06-10,141922
2023-06-11,131271
2023-06-12,183368
2023-06-13,203576
2023-06-14,189560
2023-06-15,199264
2023-06-16,200396
2023-06-17,164879
2023-06-18,140332
2023-06-19,181876
2023-06-20,161779
2023-06-21,93542
2023-06-22,192373
2023-06-23,196514
2023-06-24,155928
2023-06-25,133566
2023-06-27,179792
2023-06-28,185928
2023-06-29,35326
2023-06-30,155252
2023-07-01,138848
2023-07-02,132519
2023-07-03,171025
2023-07-04,79773
2023-07-05,171938
2023-07-06,185517
2023-07-07,191206
2023-07-08,154423
2023-07-09,81833
2023-07-10,159146
2023-07-11,56812
2023-07-12,168412
2023-07-13,41158
2023-07-14,24220
2023-07-15,69393
2023-07-16,93350
2023-07-17,147342
2023-07-18,118182
2023-07-19,173224
2023-07-20,169871
2023-07-21,160858
2023-07-22,84758
2023-07-23,31837
2023-07-24,161065
2023-07-25,158699
2023-07-26,146474
2023-07-27,159893
2023-07-28,153264
2023-07-29,119933
2023-07-30,81868
2023-07-31,145071
2023-08-01,152764
2023-08-02,153384
2023-08-03,152242
2023-08-04,147761
2023-08-05,112326
2023-08-06,96077
2023-08-07,145543
2023-08-08,153582
2023-08-09,155569
2023-08-10,9330
2023-08-11,47228
2023-08-12,102782
2023-08-13,119034
2023-08-14,156353
2023-08-15,132095
2023-08-16,169884
2023-08-17,170943
2023-08-18,161698
2023-08-19,134303
2023-08-20,122592
2023-08-21,163981
2023-08-22,101679
2023-08-23,57844
2023-08-24,148749
2023-08-25,173593
2023-08-26,149424
2023-08-27,126015
2023-08-28,66915
2023-08-29,63961
2023-08-30,100734
2023-08-31,187055
2023-09-01,196227
2023-09-02,167368
2023-09-03,136338
2023-09-04,178033
2023-09-05,174690
2023-09-06,187665
2023-09-07,131885
2023-09-08,196669
2023-09-09,167334
2023-09-10,153532
2023-09-11,199355
2023-09-12,201157
2023-09-13,53256
2023-09-14,194662
2023-09-15,116764
2023-09-16,94644
2023-09-17,135100
2023-09-18,200344
2023-09-19,202886
2023-09-20,37782
2023-09-21,198839
2023-09-22,211000
2023-09-23,186459
2023-09-24,167382
2023-09-25,157386
2023-09-26,27138
2023-09-27,141357
2023-09-28,126058
2023-09-29,103986
2023-09-30,103695
2023-10-01,151020
2023-10-02,171036
2023-10-03,167059
2023-10-04,132537
2023-10-05,186076
2023-10-06,200070
2023-10-07,176986
2023-10-08,141615
2023-10-09,151130
2023-10-10,195279
2023-10-11,204166
2023-10-12,201389
2023-10-13,203655
2023-10-14,111638
2023-10-15,159332
2023-10-16,189735
2023-10-17,191776
2023-10-18,193924
2023-10-19,118197
2023-10-20,170244
2023-10-21,132500
2023-10-22,134065
2023-10-23,184120
2023-10-24,187766
2023-10-25,192778
2023-10-26,164556
2023-10-27,192266
2023-10-28,160764
2023-10-29,147452
2023-10-30,186956
2023-10-31,193108
2023-11-01,187986
2023-11-02,202590
2023-11-03,160432
2023-11-04,161023
2023-11-05,59274
2023-11-06,47700
2023-11-07,138377
2023-11-08,159097
2023-11-09,134271
2023-11-10,129657
2023-11-11,87798
2023-11-12,68275
2023-11-13,117868
2023-11-14,136266
2023-11-15,147369
2023-11-16,58048
2023-11-17,106103
2023-11-18,74022
2023-11-19,84580
2023-11-20,133538
2023-11-21,142667
2023-11-22,148945
2023-11-23,131152
2023-11-24,99893
2023-11-25,70554
2023-11-26,71061
2023-11-27,77697
2023-11-28,109150
2023-11-29,100192
2023-11-30,88350
2023-12-01,92493
2023-12-02,72805
2023-12-03,64171
2023-12-04,109554
2023-12-05,124074
2023-12-06,88354
2023-12-07,120227
2023-12-08,131896
2023-12-09,104904
2023-12-10,90687
2023-12-11,21195
2023-12-12,107450
2023-12-13,122098
2023-12-14,32536
2023-12-15,29494
2023-12-16,35059
2023-12-17,29901
2023-12-18,62249
2023-12-19,66154
2023-12-20,42819
2023-12-21,45353
2023-12-22,46935
2023-12-23,41327
2023-12-24,27591
2023-12-25,27330
2023-12-26,74782
2023-12-27,82139
2023-12-28,82353
2023-12-29,84168
2023-12-30,15214
2023-12-31,29130
2024-01-01,46628
2024-01-02,86401
2024-01-03,71808
2024-01-04,90108
2024-01-05,94927
2024-01-06,57180
2024-01-07,31453
2024-01-08,64954
2024-01-09,38225
2024-01-10,68182
2024-01-11,81574
2024-01-12,83980
2024-01-13,64103
2024-01-14,29012
2024-01-15,69544
2024-01-16,78773
2024-01-17,36751
2024-01-18,75781
2024-01-19,90533
2024-01-20,41784
2024-01-21,36990
2024-01-22,48141
2024-01-23,43598
2024-01-24,50773
2024-01-25,62375
2024-01-26,75067
2024-01-27,57701
2024-01-28,48386
2024-01-29,78804
2024-01-30,86600
2024-01-31,93214
2024-02-01,91543
2024-02-02,94974
2024-02-03,67695
2024-02-04,72953
2024-02-05,28210
2024-02-06,75270
2024-02-07,83374
2024-02-08,87766
2024-02-09,46882
2024-02-10,34185
2024-02-11,42844
2024-02-12,65447
2024-02-13,105499
2024-02-14,123164
2024-02-15,56312
2024-02-16,99956
2024-02-17,89419
2024-02-18,39094
2024-02-19,39916
2024-02-20,54441
2024-02-21,9619
2024-02-22,29138
2024-02-23,75743
2024-02-24,55705
2024-02-25,49385
2024-02-26,98027
2024-02-27,104192
2024-02-28,108937
2024-02-29,102015
2024-03-01,45204
2024-03-02,54616
2024-03-03,65373
2024-03-04,108123
2024-03-05,110781
2024-03-06,116835
2024-03-07,98088
2024-03-08,99708
2024-03-09,78186
2024-03-10,81205
2024-03-11,114642
2024-03-12,79702
2024-03-13,120870
2024-03-14,126959
2024-03-15,130983
2024-03-16,118337
2024-03-17,87958
2024-03-18,123585
2024-03-19,102650
2024-03-20,112271
2024-03-21,122109
2024-03-22,81659
2024-03-23,123505
2024-03-24,142056
2024-03-25,58731
2024-03-26,87493
2024-03-27,141397
2024-03-28,88262
2024-03-29,91985
2024-03-30,111705
2024-03-31,126243
2024-04-01,150002
2024-04-02,167903
2024-04-03,152464
2024-04-04,169116
2024-04-05,175780
2024-04-06,160694
2024-04-07,155134
2024-04-08,165760
2024-04-09,175200
2024-04-10,153280
2024-04-11,159020
2024-04-12,178590
2024-04-13,162840
2024-04-14,147697
2024-04-15,62443
2024-04-16,121310
2024-04-17,163251
2024-04-18,170395
2024-04-19,176559
2024-04-20,41458
2024-04-21,129191
2024-04-22,176577
2024-04-23,151845
2024-04-24,109248
2024-04-25,170659
2024-04-26,180700
2024-04-27,161805
2024-04-28,147985
2024-04-29,180040
2024-04-30,182958
2024-05-01,181501
2024-05-02,186181
2024-05-03,190602
2024-05-04,157096
2024-05-05,14309
2024-05-06,25690
