,date,bus_total_passenger,bus_commute_passenger,bus_other_passenger,train_total_passenger,train_commute_passenger,train_other_passenger,fine_dust(㎍/㎥),avg_temp,min_temp,max_temp,precipitation(mm),snow_depth(mm),season,year,fd_grade,p_grade,s_grade,at_grade,day_type,total_other,other_category
375,2022-01-11,35.68402717827364,39.342048745865625,29.94406786920527,35.11847442908706,41.25485764284303,28.38883618658945,3.8461538461538467,7.849462365591396,7.692307692307693,9.88888888888889,0.056753688989784334,3.6231884057971016,Winter,2022,Normal,Light,Light_Snow,Cold,Weekday,70.8025016073607,Medium
376,2022-01-12,34.895186926803504,38.19900288121455,29.50522561618292,34.61261031652623,40.28190248408629,28.324258636565816,2.9230769230769234,7.526881720430106,6.593406593406595,5.777777777777778,0.0,0.7246376811594203,Winter,2022,Good,Dry,Light_Snow,Cold,Weekday,69.50779724332973,Medium
377,2022-01-13,35.19800987192899,37.8173474433143,30.343368618219827,34.970103384863464,40.079037229454414,29.17957747670414,3.230769230769231,8.924731182795696,9.230769230769234,6.111111111111111,0.0,0.0,Winter,2022,Good,Dry,No_Snow,Cold,Weekday,70.16811325679245,Medium
378,2022-01-14,35.80611866627396,36.8446264753647,32.19486477070564,36.08589170697029,39.33613523909238,31.948929779857288,3.6923076923076925,10.64516129032258,7.912087912087914,11.0,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday,71.89201037324425,Medium
379,2022-01-15,19.915791531672436,11.750632666243266,25.043305784540088,19.99643949567069,11.49215540818259,27.074612544099786,6.769230769230769,14.731182795698924,13.18681318681319,11.555555555555555,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekend,39.912231027343125,Low
380,2022-01-16,10.079041447882918,5.9629672506635,12.660787765668793,10.730833085881287,6.658992025154299,14.081985476725198,5.846153846153847,13.655913978494622,11.098901098901102,12.222222222222221,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekend,20.809874533764205,Low
381,2022-01-17,35.09389504473853,38.5340265703593,29.577332010426062,34.92421956430006,41.17891756128342,28.093358645476954,3.384615384615385,9.569892473118278,8.901098901098905,9.666666666666666,0.14188422247446084,2.898550724637681,Winter,2022,Good,Light,Light_Snow,Cold,Weekday,70.01811460903859,Medium
382,2022-01-18,35.7461456820467,38.92866532577848,30.389511411841433,35.582331803739066,41.278261991420614,29.238007469563946,4.615384615384616,9.78494623655914,8.131868131868135,8.777777777777777,0.0,1.8115942028985508,Winter,2022,Normal,Dry,Light_Snow,Cold,Weekday,71.32847748578577,Medium
383,2022-01-19,37.988772204223,40.46169759040446,33.03824023307189,37.04769873605102,41.87106188754831,31.448815664652443,7.384615384615386,10.107526881720428,10.549450549450553,6.555555555555555,0.4824063564131668,12.681159420289855,Winter,2022,Normal,Light,Moderate_Snow,Cold,Weekday,75.03647094027401,Medium
384,2022-01-20,36.99810077086359,39.08240944406516,32.441231964018336,36.28346262953163,40.9703459460443,30.83370275075923,5.846153846153847,10.43010752688172,8.241758241758244,10.555555555555555,0.0,8.695652173913043,Winter,2022,Normal,Dry,Moderate_Snow,Cold,Weekday,73.28156340039521,Medium
385,2022-01-21,37.60340388580251,37.990674732192026,34.38499162585568,37.46368866645588,40.178154232176105,33.76879469903853,5.538461538461539,12.903225806451612,9.450549450549454,14.666666666666666,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday,75.06709255225839,Medium
386,2022-01-22,21.098061669087254,12.849021328344854,26.202792500051885,20.911661423087697,12.334484529560186,28.026149113792968,9.23076923076923,16.129032258064516,13.51648351648352,17.444444444444443,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Mild,Weekend,42.00972309217495,Low
387,2022-01-23,10.460601151725047,6.22422946715383,13.111088444475648,10.991990167638239,6.766420466151771,14.474376342545643,10.923076923076923,17.956989247311824,18.351648351648354,17.0,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Mild,Weekend,21.452591319363286,Low
388,2022-01-24,35.5591046201034,37.9092314633389,30.896331493361842,35.188802905147114,40.76977564078708,28.96189379352404,2.4615384615384617,20.75268817204301,20.439560439560445,18.88888888888889,0.0,0.0,Winter,2022,Good,Dry,No_Snow,Mild,Weekday,70.74790752525051,Medium
389,2022-01-25,36.69934034795503,38.86599377017148,32.09831815036722,35.83602525092839,41.0080782217988,29.95975324043942,4.461538461538462,18.817204301075268,21.098901098901102,14.555555555555555,0.19863791146424517,0.0,Winter,2022,Normal,Light,No_Snow,Mild,Weekday,72.53536559888342,Medium
390,2022-01-26,37.60620956520856,38.871646923007845,33.67079390773826,36.666522403126024,40.96364717489665,31.55862569949612,8.923076923076923,17.204301075268816,16.923076923076927,17.11111111111111,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Mild,Weekday,74.27273196833458,Medium
391,2022-01-27,36.84190948700501,37.90842000599397,33.127854395421224,35.75769215202331,39.93288410216205,30.790425452315446,8.615384615384617,14.623655913978492,13.95604395604396,14.0,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday,72.59960163902832,Medium
392,2022-01-28,36.43469241628665,33.62841528872193,35.91315705461496,34.98515087361592,33.010985984682144,35.634756897013936,4.0,12.903225806451612,12.52747252747253,11.88888888888889,0.0,0.0,Winter,2022,Normal,Dry,No_Snow,Cold,Weekday,71.41984328990257,Medium
