,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
69,2021-03-11,0.3884514435695538,0.0,0.0,Weekday,Spring,2021,Very_bad,Dry,No_Snow,0.0
70,2021-03-12,0.2125984251968504,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
71,2021-03-13,0.1732283464566929,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
72,2021-03-14,0.28608923884514437,0.0,0.0,Weekend,Spring,2021,Bad,Dry,No_Snow,0.0
73,2021-03-15,0.31496062992125984,0.009648127128263339,0.0,Weekday,Spring,2021,Bad,Light,No_Snow,0.0
74,2021-03-16,0.31758530183727035,0.007377979568671965,0.0,Weekday,Spring,2021,Bad,Light,No_Snow,0.0
75,2021-03-17,0.29658792650918636,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
76,2021-03-18,0.32545931758530183,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
77,2021-03-19,0.2020997375328084,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
78,2021-03-20,0.09973753280839895,0.028944381384790014,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
79,2021-03-21,0.13123359580052493,0.0017026106696935302,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
80,2021-03-22,0.11023622047244094,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
81,2021-03-23,0.26246719160104987,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
82,2021-03-24,0.2125984251968504,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
83,2021-03-25,0.22834645669291337,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
84,2021-03-26,0.3963254593175853,0.0,0.0,Weekday,Spring,2021,Very_bad,Dry,No_Snow,0.0
85,2021-03-27,0.25984251968503935,0.14472190692395007,0.0,Weekend,Spring,2021,Bad,Moderate,No_Snow,0.0
86,2021-03-28,0.12965118490623453,0.052213393870601595,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
87,2021-03-29,0.9999999999999999,0.001135073779795687,0.0,Weekday,Spring,2021,Very_bad,Light,No_Snow,0.0
88,2021-03-30,0.47506561679790027,0.0,0.0,Weekday,Spring,2021,Very_bad,Dry,No_Snow,0.0
89,2021-03-31,0.11023622047244094,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
90,2021-04-01,0.11548556430446194,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
91,2021-04-02,0.12860892388451445,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
92,2021-04-03,0.11286089238845143,0.31895573212258804,0.0,Weekend,Spring,2021,Normal,Heavy,No_Snow,0.0
93,2021-04-04,0.12965118490623453,0.0034052213393870605,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
94,2021-04-05,0.05774278215223097,0.0,0.0,Weekday,Spring,2021,Good,Dry,No_Snow,0.0
95,2021-04-06,0.12073490813648294,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
96,2021-04-07,0.1679790026246719,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
97,2021-04-08,0.08661417322834646,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
98,2021-04-09,0.08923884514435695,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
99,2021-04-10,0.09711286089238845,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
100,2021-04-11,0.13385826771653542,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
101,2021-04-12,0.14173228346456693,0.12485811577752555,0.0,Weekday,Spring,2021,Normal,Moderate,No_Snow,0.0
102,2021-04-13,0.04199475065616798,0.045402951191827474,0.0,Weekday,Spring,2021,Good,Light,No_Snow,0.0
103,2021-04-14,0.11023622047244094,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
104,2021-04-15,0.1653543307086614,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
