,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
102,2021-04-13,24.0,8.0,0.0,Weekday,Spring,2021,Good,Light,No_Snow,0.0
103,2021-04-14,50.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
104,2021-04-15,71.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
105,2021-04-16,103.0,0.7,0.0,Weekday,Spring,2021,Bad,Light,No_Snow,0.0
106,2021-04-17,105.0,0.0,0.0,Weekend,Spring,2021,Bad,Dry,No_Snow,0.0
107,2021-04-18,50.0,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
108,2021-04-19,69.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
109,2021-04-20,78.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
110,2021-04-21,81.0,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
111,2021-04-22,78.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
112,2021-04-23,41.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
113,2021-04-24,24.0,0.0,0.0,Weekend,Spring,2021,Good,Dry,No_Snow,0.0
114,2021-04-25,26.0,0.0,0.0,Weekend,Spring,2021,Good,Dry,No_Snow,0.0
115,2021-04-26,29.0,0.0,0.0,Weekday,Spring,2021,Good,Dry,No_Snow,0.0
116,2021-04-27,35.0,1.7,0.0,Weekday,Spring,2021,Normal,Light,No_Snow,0.0
117,2021-04-28,58.0,4.7,0.0,Weekday,Spring,2021,Normal,Light,No_Snow,0.0
118,2021-04-29,59.0,3.9,0.0,Weekday,Spring,2021,Normal,Light,No_Snow,0.0
119,2021-04-30,40.0,26.3,0.0,Weekday,Spring,2021,Normal,Moderate,No_Snow,0.0
120,2021-05-01,33.0,8.0,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
121,2021-05-02,19.0,1.7,0.0,Weekend,Spring,2021,Good,Light,No_Snow,0.0
122,2021-05-03,41.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
123,2021-05-04,36.0,19.6,0.0,Weekday,Spring,2021,Normal,Moderate,No_Snow,0.0
124,2021-05-05,38.0,0.1,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
125,2021-05-06,56.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
126,2021-05-07,298.0,8.8,0.0,Weekday,Spring,2021,Very_bad,Light,No_Snow,0.0
127,2021-05-08,384.0,0.0,0.0,Weekend,Spring,2021,Very_bad,Dry,No_Snow,0.0
128,2021-05-09,47.0,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
129,2021-05-10,26.0,0.0,0.0,Weekday,Spring,2021,Good,Dry,No_Snow,0.0
130,2021-05-11,24.0,0.0,0.0,Weekday,Spring,2021,Good,Dry,No_Snow,0.0
131,2021-05-12,24.0,0.0,0.0,Weekday,Spring,2021,Good,Dry,No_Snow,0.0
132,2021-05-13,46.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
133,2021-05-14,58.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
134,2021-05-15,66.0,15.0,0.0,Weekend,Spring,2021,Normal,Moderate,No_Snow,0.0
135,2021-05-16,14.0,66.9,0.0,Weekend,Spring,2021,Good,Heavy,No_Snow,0.0
136,2021-05-17,16.0,3.1,0.0,Weekday,Spring,2021,Good,Light,No_Snow,0.0
137,2021-05-18,39.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
138,2021-05-19,41.0,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
139,2021-05-20,27.0,0.9,0.0,Weekday,Spring,2021,Good,Light,No_Snow,0.0
140,2021-05-21,22.0,6.9,0.0,Weekday,Spring,2021,Good,Light,No_Snow,0.0
141,2021-05-22,40.0,0.2,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
