,station_id,station_name,date,fine_dust(㎍/㎥)
378,108,서울,2022-01-23,79
379,108,서울,2022-01-24,24
380,108,서울,2022-01-25,37
381,108,서울,2022-01-26,66
382,108,서울,2022-01-27,64
383,108,서울,2022-01-28,34
384,108,서울,2022-01-29,32
385,108,서울,2022-01-30,36
386,108,서울,2022-01-31,41
387,108,서울,2022-02-01,52
388,108,서울,2022-02-02,35
389,108,서울,2022-02-03,28
390,108,서울,2022-02-04,25
391,108,서울,2022-02-05,25
392,108,서울,2022-02-06,23
393,108,서울,2022-02-07,30
394,108,서울,2022-02-08,33
395,108,서울,2022-02-09,44
396,108,서울,2022-02-10,55
397,108,서울,2022-02-11,104
398,108,서울,2022-02-12,97
399,108,서울,2022-02-13,60
400,108,서울,2022-02-14,50
401,108,서울,2022-02-16,32
402,108,서울,2022-02-17,34
403,108,서울,2022-02-18,51
404,108,서울,2022-02-19,48
405,108,서울,2022-02-20,36
406,108,서울,2022-02-21,33
407,108,서울,2022-02-22,34
408,108,서울,2022-02-23,30
409,108,서울,2022-02-24,33
410,108,서울,2022-02-25,69
411,108,서울,2022-02-26,61
412,108,서울,2022-02-27,52
413,108,서울,2022-02-28,46
414,108,서울,2022-03-01,34
415,108,서울,2022-03-02,30
416,108,서울,2022-03-03,48
417,108,서울,2022-03-04,88
418,108,서울,2022-03-05,111
419,108,서울,2022-03-06,49
420,108,서울,2022-03-08,58
421,108,서울,2022-03-09,63
422,108,서울,2022-03-10,65
423,108,서울,2022-03-11,70
424,108,서울,2022-03-12,67
425,108,서울,2022-03-13,15
426,108,서울,2022-03-15,43
427,108,서울,2022-03-16,65
428,108,서울,2022-03-17,59
429,108,서울,2022-03-20,25
430,108,서울,2022-03-21,32
431,108,서울,2022-03-22,39
432,108,서울,2022-03-23,33
433,108,서울,2022-03-24,45
434,108,서울,2022-03-25,64
435,108,서울,2022-03-27,35
436,108,서울,2022-03-28,39
437,108,서울,2022-03-29,40
438,108,서울,2022-03-30,36
439,108,서울,2022-03-31,24
440,108,서울,2022-04-02,34
441,108,서울,2022-04-03,45
442,108,서울,2022-04-04,50
443,108,서울,2022-04-05,41
444,108,서울,2022-04-06,50
445,108,서울,2022-04-07,40
446,108,서울,2022-04-08,54
447,108,서울,2022-04-09,58
448,108,서울,2022-04-10,51
449,108,서울,2022-04-11,36
450,108,서울,2022-04-12,27
451,108,서울,2022-04-13,13
452,108,서울,2022-04-14,14
453,108,서울,2022-04-16,39
454,108,서울,2022-04-17,47
455,108,서울,2022-04-18,50
456,108,서울,2022-04-19,60
457,108,서울,2022-04-20,59
458,108,서울,2022-04-21,43
459,108,서울,2022-04-22,52
460,108,서울,2022-04-23,53
461,108,서울,2022-04-24,50
462,108,서울,2022-04-25,44
463,108,서울,2022-04-26,47
464,108,서울,2022-04-27,169
465,108,서울,2022-04-28,77
466,108,서울,2022-04-30,25
467,108,서울,2022-05-01,48
468,108,서울,2022-05-02,45
469,108,서울,2022-05-03,40
470,108,서울,2022-05-04,42
471,108,서울,2022-05-05,34
