STA_LOC,RENT_NM,STAT_DATA,RENT_CNT,RTN_CNT,START_INDEX,END_INDEX,RNUM
동작구,2068. 총신대 앞(육교),2022-07-01,4,1,0,0,492
동작구,2070. 노량진역 2번 출구 앞,2022-07-01,60,88,0,0,493
관악구,2177. 신대방역 2번 출구,2022-07-01,281,327,0,0,494
관악구,2178. 서울대학교 정문,2022-07-01,15,15,0,0,495
관악구,2179. 양녕로 입구,2022-07-01,51,49,0,0,496
종로구,339. 종로4가 사거리,2022-07-01,78,78,0,0,497
서초구,2501. 서초 포레스타5단지,2022-07-01,22,27,0,0,498
서초구,2502. 서초역1번출구 앞,2022-07-01,16,16,0,0,499
서초구,2503. 반포1동 서초빌딩 앞,2022-07-01,38,38,0,0,500
서초구,2504. 신사역 4번출구 뒤,2022-07-01,42,39,0,0,501
서초구,2505. 우성아파트사거리 (기업은행앞),2022-07-01,77,72,0,0,502
서초구,2506. LG유플러스 (방배사옥),2022-07-01,3,2,0,0,503
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),2022-07-01,29,32,0,0,504
종로구,340. 혜화동 로터리,2022-07-01,57,73,0,0,505
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),2022-07-01,13,13,0,0,506
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),2022-07-01,4,4,0,0,507
강남구,2393. 구룡사 앞 교차로 (보도육교),2022-07-01,7,10,0,0,508
강남구,2394. 개포래미안포레스트아파트 107동 앞,2022-07-01,37,32,0,0,509
강남구,2395. 개포1단지아파트 입구 (보도육교),2022-07-01,13,6,0,0,510
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),2022-07-01,27,36,0,0,511
강남구,2398. 더라움,2022-07-01,8,8,0,0,512
종로구,341. 혜화역 3번출구 뒤,2022-07-01,61,53,0,0,513
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),2022-07-01,16,9,0,0,514
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),2022-07-01,8,7,0,0,515
강남구,2404. 대모산입구역 4번 출구 앞,2022-07-01,68,68,0,0,516
강남구,2405. 청담공원앞 교차로,2022-07-01,45,11,0,0,517
강남구,2406. 논현동 광명빌딩 앞,2022-07-01,25,14,0,0,518
강남구,2407. 역삼서초삼성 세무서 앞 (역삼빌딩 앞),2022-07-01,71,60,0,0,519
강남구,2408. 강남한양수자인아파트,2022-07-01,42,43,0,0,520
송파구,1290. 위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,2022-07-01,17,9,0,0,521
종로구,342. 대학로 마로니에공원,2022-07-01,141,140,0,0,522
송파구,1291. 서울체육고등학교 앞,2022-07-01,24,24,0,0,523
송파구,1293. 석촌호수 서호 사거리,2022-07-01,139,152,0,0,524
송파구,1295. 잠실역 8번출구,2022-07-01,215,215,0,0,525
송파구,1296. 석촌호수교차로 (송파나루근린공원 앞),2022-07-01,47,35,0,0,526
송파구,1297. 석촌호수교차로(동호 팔각정 앞),2022-07-01,94,91,0,0,527
송파구,1299. 송파소방서 (방이119안전센터),2022-07-01,37,22,0,0,528
송파구,1300. 오륜사거리,2022-07-01,41,54,0,0,529
종로구,343. 힐스테이트창경궁 아파트 앞,2022-07-01,30,24,0,0,530
송파구,2601. 석촌호수 아뜰리에,2022-07-01,131,126,0,0,531
송파구,2603. 송파 글마루 도서관,2022-07-01,58,48,0,0,532
강동구,1052. 리싸이클시티,2022-07-01,4,4,0,0,533
강동구,1053. 동명근린공원 진입로 (아리수로),2022-07-01,21,18,0,0,534
강동구,1054. 말우물 어린이 공원,2022-07-01,10,11,0,0,535
강동구,1056. 강일리버파크 7~11단지,2022-07-01,17,35,0,0,536
강동구,1057. 능골근린공원,2022-07-01,32,33,0,0,537
성동구,3525. 금호스포츠센터앞,2022-07-01,25,33,0,0,538
마포구,112. 극동방송국 앞,2022-07-01,53,59,0,0,539
종로구,344. 성균관대 E하우스 앞,2022-07-01,41,37,0,0,540
성동구,3527. 왕십리 자이아파트(101동 앞),2022-07-01,1,1,0,0,541
광진구,3528. 광진정보도서관,2022-07-01,50,58,0,0,542
광진구,3529. 어린이대공원정문,2022-07-01,56,27,0,0,543
종로구,452. 동대문 종합시장 버스정류장,2022-07-01,36,35,0,0,544
종로구,453. 종로오가 지하쇼핑센터 14번출구,2022-07-01,64,54,0,0,545
종로구,454. 종로2가 버스정류장 (종각방향),2022-07-01,57,56,0,0,546
종로구,455. 종로6가역 버스정류장(동대문 방향),2022-07-01,76,67,0,0,547
종로구,456. 숭인2동 주민센터 입구,2022-07-01,51,75,0,0,548
종로구,345. 서울보증보험본사 앞,2022-07-01,63,58,0,0,549
종로구,457. 종로꽃시장 입구 옆,2022-07-01,46,40,0,0,550
종로구,458. 광화문역 5번출구,2022-07-01,198,169,0,0,551
용산구,845. 용산 선인상가,2022-07-01,44,43,0,0,552
성동구,3530. 왕십리자이아파트 후문(삼거리),2022-07-01,11,13,0,0,553
성동구,3531. 논골사거리(금호도서관 입구),2022-07-01,15,2,0,0,554
성동구,3532. 왕십리KCC스위첸아파트,2022-07-01,4,4,0,0,555
종로구,461. 서울지방경찰청,2022-07-01,58,58,0,0,556
중구,346. 맥스타일 앞,2022-07-01,39,36,0,0,557
강동구,1060. 천일초교 사거리,2022-07-01,40,46,0,0,558
강동구,1061. 천호초교 입구 사거리(일주빌딩),2022-07-01,54,57,0,0,559
강동구,1062. 고덕숲 아이파크 2,2022-07-01,11,10,0,0,560
강동구,1058. 고덕숲 아이파크 1,2022-07-01,17,23,0,0,561
동대문구,661. 경희대학교 청운관,2022-07-01,50,50,0,0,562
강동구,1059. 래미안 강동팰리스(102동),2022-07-01,46,42,0,0,563
송파구,2604. 풍납토성 서성벽터A,2022-07-01,73,88,0,0,564
동대문구,656. 영휘원 교차로,2022-07-01,36,45,0,0,565
동대문구,657. 동대문롯데캐슬아파트 앞,2022-07-01,70,83,0,0,566
중구,347. 동대문역사문화공원역 9번출구 앞,2022-07-01,39,26,0,0,567
동대문구,658. 촬영소 사거리,2022-07-01,59,77,0,0,568
동대문구,659. 제기동역 1번출구,2022-07-01,117,118,0,0,569
동대문구,660. 동의보감타워,2022-07-01,84,87,0,0,570
성북구,1369. 미아사거리,2022-07-01,87,83,0,0,571
성북구,1370. 복자사랑 피정의 집,2022-07-01,19,8,0,0,572
성북구,1372. KEB은행 고대점,2022-07-01,37,38,0,0,573
성북구,1373. 성북구보건소 건너편,2022-07-01,25,25,0,0,574
도봉구,1741. 제일강산수산입구,2022-07-01,37,35,0,0,575
노원구,1688. 마들역 7번출구,2022-07-01,87,92,0,0,576
노원구,1689. 마들역 3번출구,2022-07-01,93,84,0,0,577
노원구,1690. 도봉운전면허시험장 버스정류장 옆,2022-07-01,74,66,0,0,578
노원구,1691. 노원정보도서관,2022-07-01,54,41,0,0,579
서대문구,3107. 연희초등학교 앞,2022-07-01,15,16,0,0,580
강서구,1184. 마곡13단지,2022-07-01,157,165,0,0,581
강서구,1185. 등촌9단지,2022-07-01,74,59,0,0,582
강서구,1186. 송정중학교,2022-07-01,61,63,0,0,583
금천구,"1858. 500번,507번 버스 종점 앞",2022-07-01,15,9,0,0,584
영등포구,283. 아크로타워 스퀘어(영등포시장),2022-07-01,143,164,0,0,585
종로구,349. 어린이도서관,2022-07-01,32,28,0,0,586
영등포구,284. 센트럴 푸르지오 시티 앞,2022-07-01,77,91,0,0,587
영등포구,285. 콤텍시스템 앞,2022-07-01,41,49,0,0,588
영등포구,286. 우성아파트 교차로,2022-07-01,49,56,0,0,589
영등포구,287. 영등포전화국사거리 (서강어린이공원),2022-07-01,104,110,0,0,590
서초구,2508. 양재이스타빌 앞,2022-07-01,59,57,0,0,591
서초구,2509. 심산기념문화센터,2022-07-01,47,50,0,0,592
